Course Name,Course Description
Syntax And Structure of C - Simply C,Fundamentals of the C Programming Language. (March 2021)
Advanced C Programming,This course covers many advanced concepts of the C programming language for embedded applications. (June 2021)
C Programming: Linked List Data Structures,Learn how to use Linked List Data Structures to make your data access easier and more flexible. (June 2021)
"Advanced Embedded C Tips, Tricks, and Cautions","This class will help you take your C programming skills to the next level with concepts like header file inclusion, using typedefs for function pointers and structures, performing floating point math without hardware floating point units or firmware libraries, and initializing and clearing structures and unions. (June 2022)"
C Programming Callbacks,This class covers Callbacks in C which allow you to create more flexible and modular functions and enable you to separate hardware and software operations. (Jan 2023)
Introduction To MPLAB® X IDE,This class covers the basics of the MPLAB X IDE. (Dec 2020) [English and Spanish subtitles available]
Introduction to Breakpoints with MPLAB® IDE,This class covers hardware and software breakpoints which are the most useful of all tools when debugging your code
MPLAB® X Tips & Tricks,This is a collection of extremely useful tips and tricks that will help you get the most out of MPLAB® X. (Updated Jan 2021)
Overview of the MPLAB® Code Configurator (MCC) Content Manager (CM),This course provides basic information on how to navigate and create a new project using the MCC Content Manager. (June 2022)
MPLAB® Code Configurator (MCC) For Simplified Embedded Software Development,"The MPLAB® Code Configurator (MCC) is a free plug-in of MPLAB® X IDE, which provides an easy setup and configuration experience for supported microcontrollers. (Dec 2020)"
8-bit PIC® MCU Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common PIC16 and PIC18 peripherals. New chapters will be added as they become available. (Updated July 2023)"
AVR Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common AVR peripherals. More chapters will be added as they become available. (Updated June 2023)"
MCC Melody API Reference for AVR® MCUs,"MCC Melody components are the collective name for the provided libraries, drivers, Peripheral Libraries (PLIBs) and Hardware Initializers (HWIs). For select components, the MCC Melody API references now include a “How to use the …” sections, which are a series of use cases. (Jan 2023)"
MCC Melody API Reference for PIC® MCUs,"MCC Melody components are the collective name for the provided libraries, drivers, Peripheral Libraries (PLIBs) and Hardware Initializers (HWIs). For select components, the MCC Melody API references now include a “How to use the …” sections, which are a series of use cases. (Jan 2023)"
Migrating from MPASM™ to MPLAB® XC8 PIC® Assembler,This course will help you migrating your existing MPASM™ projects to MPLAB® XC8 PIC® Assembler. The lecture will focus only on differences between the two assemblers. (Feb 2023)
Automate FW testing with MDBCore scripting - Introduction,This course introduces the potential of MDBCore-scripting in automating firmware testing. (December 2023)
Automate FW testing with MDBCore scripting - Compile without IDE,In this course you will learn how to manually extract firmware revisions and how to compile code without an Integrated Development Environment (IDE) (December 2023)
Automate FW testing with MDBCore scripting - MDBCore Interface mdb,"In this module we cover the mdb, the simplest and first method to utilize MDBCore. (December 2023)"
Automate FW testing with MDBCore scripting - MDBCore Interface mdbcs,"In this module we cover the mdbcs, a more complex interface into MDBCore. (December 2023)"
Automate FW testing with MDBCore scripting - FW test automation with Java,This  class focuses on MDBCore scripting in the MPLAB® X ecosystem with Java. (December 2023)
Visual Debugging with MPLAB® Data Visualizer,"In this class, we’ll use MPLAB® Data Visualizer as a plugin to MPLAB X IDE to plot real-time data from PIC®, AVR® and SAM MCUs using the Curiosity Nano Platform, and Xplained Pro platforms. (Feb 2021)"
Creating Unique Digital and Analog Functionality by Interconnecting Core Independent Peripherals (CIPs).,This class will cover in detail a number of applications that utilize multiple Core Independent Peripherals (CIPs) to simplify the design of different circuits. (Updated Nov 2021)
8 Bit Microcontrollers: Architecture of the PIC16,"This class covers the basic architecture, memory map, instruction set, interrupt structure and special features of the PIC16F1x family of devices. (Feb 2022)"
Getting Started with PIC16F1xxx MCUs using MCC and State Machines,"When you complete this class you will be able to create a PIC16F1xxx application from scratch using State Machines, MPLAB® X and MPLAB Code Configurator (MCC). You will be able to configure GPIO, Timer, USART and ADC using MCC. (Nov 2021)"
Microchip Try - Basics of Developing Microcontroller Applications,"The Microchip Try platform provides online users the chance to learn the basics of microcontrollers without any hardware. Through a series of interactive applications, you will learn how microcontrollers work and how to create simple applications from start to finish."
Rapid Prototyping with the Curiosity Nano Platform,This course will help you to get the most out of the Curiosity Nano development platform. (Nov 2021)
Replacing ASIC Functions with 8-bit PIC® and AVR® MCUs,This class covers an overview of new 8-bit peripherals and then several examples on how to use 8-bit MCUs in creative ways including replacing the functions of an ASIC. (Oct 2022)
NVRAM and EEPROM Selection and Design,This class is an overview of external non-volatile memories. (July 2021)
Strategies for Nonvolatile Memory Reliability,"This class covers how EEPROM and NOR Flash memory operate, wear out, and fail, as well as several strategies for maximizing performance and reliability of memory devices in applications. (Sept 2021)"
Hello FPGA,Getting Started with Microchip FPGAs. (Dec 2020)
Using Microchip PolarFire® FPGAs in Low Power Applications,Microchip PolarFire® FPGAs offer the industry’s lowest-power FPGA fabric. (June 2021)
Configuring a SmartFusion® 2 FPGA and Developing Firmware Applications,"This class shows you how to configure the SmartFusion 2 MSS, add peripherals in the SmartFusion 2 FPGA fabric, complete the FPGA design flow and develop firmware applications for the ARM Cortex-M3. (Nov 2022)"
Introduction to PolarFire® FPGA Security,"This class explains the basic tenets of security, and specifically the design security and data security features of PolarFire® FPGAs. (Nov 2022)"
Picking the Right Timing Sources for your MCU/MPU or FPGA,"This class guides you through relevant, practical approaches to deciding on the timing sources for your MCU/MPU or FPGA. (June 2021)"
Introduction to Quartz Crystals,"This course provides a detailed overview of piezoelectric effect, resonator structures, cuts, vibration modes and overtones. (Oct 2022)"
"Oscillators: XOs, TXCOs and VCXOs","This course covers basic crystal oscillators, temperature-compensated oscillators and voltage-controlled oscillators. (Oct 2022)"
"Temperature Controlled Oscillators: OCXO's, EMXO's & MCXO's",This course covers oven-controlled oscillators (OCXOs) and how they achieve such tight frequency control over temperature. (Nov 2022)
"Alternate Resonators: SAW, MEMS & Atomic","This episode will introduce three common alternatives to quartz oscillators including silicon MEMS, SAW and atomic resonators. (Oct 2022)"
"Surviving the Extremes - Oscillators for Shock, Vibration and Temperature","This class covers the design approaches and construction techniques used to develop oscillators that can withstand shock, vibration and wide temperature ranges. (Oct 2022)"
Crystal Oscillators: Phase Noise and Short-Term Stability,"In this course we cover phase noise and how it consists of different noise sources between the crystal and the electronics. This discussion will consist of topics such as frequency and time domain, power law, short-term stability and noise mitigation. (May 2023)"
Crystal Oscillators: Challenges And Sources Of Error,This class dives into the common challenges and compromises when designing quartz oscillators. (Feb 2023)
Quartz Oscillators in Space,This course covers the effects of radiation on both quartz and quartz oscillator circuitry as well as the advantages and disadvantages of operating in a vacuum for various quartz oscillator types. (Aug 2023)
Select a Timing Source for your PCIe Application,"This class guides you through relevant, practical approaches to selecting the optimal timing source for you PCIe application. (July 2021)"
Designing with MEMS Oscillators,This class covers selecting a MEMS technology oscillator that can maintain tight frequency stability even under severe environmental conditions. (Feb 2022)
Design with Multi-output MEMS Oscillators,Short course designed to help you select the best multi-output MEMS oscillator for your project. (March 2024)
ARM® Cortex®-M Architecture Overview,This course covers the architectural differences of the Cortex-M cores and will help you select which device is the best choice for your own application. (Sept 2022)
Getting Started with Writing Code for the Microchip ARM® Cortex® Microcontrollers,"Learn how to get started writing code and operating peripherals on the Microchip SAM ARM  Cortex  M0+, M23 and M4 microcontrollers. (Sept 2021)"
dsPIC33CH Dual Core Device Architecture,This class will discuss the dsPIC33CH family of 16-bit dual-core dsPIC® devices. (Jan 2021)
dsPIC33CH Dual Core Programming and Debugging,Learn how a dual-core dsPIC® device with various interconnected peripherals can be leveraged to accelerate time-sensitive embedded control applications. (May 2021)
dsPIC33C Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common dsPIC33C peripherals. (Updated May 2024)"
SAM and PIC32 Peripheral Deep Dive,This class presents extensive information on the architecture and configuration of the SAM and PIC32 Peripherals. (Updated April 2024)
FreeRTOS Simplified: A Beginner's Guide to Develop and Debug FreeRTOS Applications,"This class will help you get started with FreeRTOS applications on Cortex® M4F/M7 devices, using MPLAB® Harmony v3. In addition to basic RTOS concepts, the class emphasizes on common design considerations like task grouping, prioritizing and inter-task communication methods. (Jan 2022)"
Introduction to Embedded Linux,Exploring Embedded Linux on the ATSAMA5D27-SOM1-EK. (Dec 2020)
Exploring Linux Build Systems: Creating your first Embedded Linux System with Buildroot,Creating your first Embedded Linux System with Buildroot. (Dec 2020)
Building your Linux Development System,How to create a development system capable of building Linux solutions for Microchip MPUs. (Dec 2020)
Linux Graphics using the Ensemble Graphics Toolkit,In this class you will learn about the structure of the Ensemble Graphics Toolkit (EGT) and how you can use it to create simple graphical applications. (July 2022)
Linux Yocto Distributions: An Introduction to Toaster,Using the Toaster Interface to configure and automate building Yocto Images. (July 2022)
MPLAB®  Harmony v3 Fundamentals,MPLAB®  Harmony v3 Fundamentals (Dec 2020)
Simple Applications Using the MPLAB® Harmony v3 Peripheral Libraries,Creating Simple Embedded Applications with 32-bit MCUs/MPUs using the MPLAB® Harmony v3 Peripheral Libraries. (May 2021)
Creating Advanced Embedded Applications with 32-bit MCUs/MPUs using the MPLAB® Harmony v3 Software Framework,"This class shows how the MPLAB® Harmony drivers, system services and middleware enables you to rapidly develop bare-metal and RTOS applications. (April 2021)"
Capacitive Touch Design: Getting Started with Touch using Microchip Code Configurator (MCC) Melody,"In this course we will use MPLAB® X, MCC Melody, and Microchip Touch libraries to create a capacitive touch project with buttons and a slider. (July 2023)"
Getting Started with a New Harmony Graphics Application,This class shows how to use the The MPLAB® Harmony Graphics Suite (MHGS) to design a simple touch-enabled UI application on any Microchip 32-bit Graphics Development Kit. (June 2023)
16-Bit Bootloaders Using MCC: Device Side,This class will focus on creating both a generic 16-bit bootloader and a secure 16-Bit bootloader using ECDSA signing features of the ATECC608B for the PIC24/dsPIC33 devices using MPLAB® X IDE and the MPLAB Code Configurator (MCC). (Updated May 2022)
Developing Bootloaders for ARM® Cortex® M0+ MCUs,"This class will review the basics of firmware bootloaders and show you how to deploy a bootloader-enabled application on a SAM D21 MCU, using the MPLAB® X IDE and the MPLAB Harmony bootloader library. (October 2023)"
Electromagnetic Compatibility (EMC) Part 1 - Basics and Definitions,"This includes understanding what EMC is, the different modes of EMC coupling and propagation, characterizing binary signals and exploring radiation modes and their interaction with binary signals. (November 2023)"
Electromagnetic Compatibility (EMC) Part 2 - Supply Voltage Decoupling,"This course covers cover the basics of resonance circuits, the use of decoupling components and the use of inductors and ferrite beads for DC decoupling. (November 2023)"
Electromagnetic Compatibility (EMC) Part 3 - Signal Transmission and Grounding,In this class we dive into the details of signal transmission lines and grounding including types of signal coupling and reflections on transmission lines and the effects on PCB traces. (November 2023)
Electromagnetic Compatibility (EMC) Part 4 - Shielding,"In this course we cover shielding walls and their effectiveness at different frequencies, radiators in the far field and in the near field and how to avoid loops when dealing with shielded cable. (November 2023)"
MPU System and PCB Design Pitfalls and Solutions,This class will guide you through the hostile terrain of implementing high-speed/high-end MPU devices within an electronic system. (March 2021)
PCB Design for Today's High-Speed Protocols,This presentation is targeted to engineers and layout designers who want to know more about how to deal with the challenges of modern high speed design. (April 2023)
CAN and CAN FD Protocol and Physical Layer Basics,The course will teach you the CAN and CAN FD protocol and physical layer basics. (Dec 2020)
Designing and Implementing a CAN FD Network,This course will teach you the CAN FD protocol and physical layer by guiding you through a CAN FD network design and implementation based on an example application. (Jan 2022)
"Practical I2C: Introduction, Implementation and Troubleshooting",This class covers how to implement the I2C protocol on 8-bit PIC Microcontrollers using the MPLAB X® Code Configurator (MCC). (July 2021)
Debugging Techniques for Serial Communications (I2C/SPI/UART),"We will explore various debugging techniques, learn what tool best applies for each situation and how to approach a new and never-before-seen bug. (Sept 2021)"
First Steps into Bluetooth Low Energy (BLE),This class will highlight the fundamental concepts needed to design BLE-capable devices and discuss connectivity and data transfer. (Nov 2021)
Exploring Bluetooth® Low Energy (BLE) From First Steps To Final Application,This class is for engineers who want to learn BLE with little to no previous experience. (Dec 2020)
Rapid Prototyping Bluetooth® Low Energy (BLE) Android Apps using MIT App Inventor,Rapid Prototyping Bluetooth® Low Energy (BLE) Android Apps using MIT App Inventor. (Dec 2020)
Getting Started Developing Bluetooth® Low Energy (BLE) Android Apps using Android Studio,Getting Started Developing Bluetooth® Low Energy (BLE) Android Apps using Android Studio. (Dec 2020)
Bluetooth Made Simple - Adding the WBZ451 BLE Module to Your Application,"This class will discuss the core features of the WBZ451 BLE module, its standard interfaces, and how to add the module to your hardware design. (April 2023)"
Introduction to USB 2.0,Introduction to USB 2.0 Part A: Basic Concepts and Tools (Dec 2020)
USB2 Hub Fundamentals,How to design-in a USB2 hub into your application and perform basic testing and debugging of the design. (Jan 2022)
USB 3 Fundamentals,This course will help you to add a USB 3 hardware interface to your current or new product design. (June 2022)
USB Type-C Interface Overview and Power Delivery,This course is intended to provide an overview of the USB interface and a brief introduction to USB power delivery. (October 2023)
USB Device Applications with MPLAB® Harmony USB Stack,Developing USB  Device Applications with MPLAB® Harmony USB Stack. (April 2021)
Developing USB Host  Applications with MPLAB® Harmony USB Stack,In this class you will learn how to configure the MPLAB Harmony USB Host Stack and use the provided APIs to create an USB Embedded Host application. (Nov 2021)
Ethernet Fundamentals,"This class will enable an engineer with no prior Ethernet knowledge to successfully design with Ethernet PHYs, controllers, and switches. (Nov 2021)"
Basic Network Management,We will introduce the basic concept of an ethernet Switch and highlight the key features. (May 2023)
Ethernet Switch Fundamentals,"In this course we will explore Ethernet switches and how they can be designed into embedded applications. We'll explore how switches work and look at key Switch features and interface options, which should be considered when selecting a Switch IC. (July 2022)"
Introduction to 10BASE-T1S Single Pair Ethernet (SPE),"A brief description of the new Ethernet standard called 10BASE-T1S, and some of its typical application examples in the automotive and industrial worlds, as well as in information technology (IT) and operational technology (OT). (Oct 2022)"
10BASE-T1S Single Pair Ethernet System Integration,This class will introduce the 802.3cg short reach 10Mbps Ethernet physical layer standard and the PLCA collision management protocol which allows for efficient multi-drop network implementations. (Nov 2022)
Serializer/Deserializer (SerDes) Basics for Your Next Microchip Ethernet PHY Design,"This course will answer why SerDes (Serializer/Deserializer) is so compelling for Ethernet applications, and how the technology works. (Sept 2023)"
"An Introduction to EtherCAT®, EtherCAT P and the Microchip LAN925x family of Slave Controllers","The class will also explain how EtherCAT can be used for ANY low-cost distributed embedded system that requires high-speed, real-time, time-sensitive networked communication and control. (Jan 2022)"
Configuration of INICnet™ Technology using MPLAB® Network Creator,"This class will teach you an overview on INICnet™ Technology, a synchronous network used for audio and video systems which also supports Ethernet traffic in automotive and industrial environments. (March 2022)"
Introduction to PoE and the IEEE802.3bt Standard,This course will offer an introduction to PoE (Power over Ethernet) as well as PSE (Power Source Equipment) technology and the IEEE802.3bt standard. (Dec 2021)
An Introduction to Software Defined Industrial Gateway,"How to use Microchip Network Processors (NPUs), turnkey software and white boxes for telecom and industrial applications. (Nov 2021)"
Introduction to Functional Safety,"This class covers the fundamentals of Functional Safety including terminology, standards, FMEDA, requirements and tools offered by Microchip. (June 2022)"
Class B Diagnostic Libraries For Functional Safety,Learn how to use software diagnostics in safety critical designs with the help of Microchip’s class B diagnostic library for microcontrollers. (July 2022)
An Introduction To The ISA/IEC 62443 Standard,"This online class highlights the peculiarities of the cybersecurity problem in the industrial domain and provides insight on the most prominent industrial cybersecurity standard (IEC 62443) and on the related certifications, focusing at component-level. (April 2022)"
Cryptography Primer,Attendees of this class will learn the fundamentals of cryptography. (Dec 2020)
Design Considerations For Your First IoT Project,"Learn the essentials of a connected device within the context of IoT.  We explore WiFi, Ethernet, TCP/IP networking and analysis, messaging, provisioning, cloud models and the basics of IoT security. (Jan 2021)"
Controlling Your Embedded IoT Device Using Amazon Alexa,"In this training,  we will learn how to monitor and control  an Embedded device  using an Amazon Voice assistant. (June 2021)"
How to WiFi: Configuring the WINC1500 driver with the Harmony 3 Configurator,This is a short tutorial showing how to use the Harmony 3 Configurator to configure the WINC1500 driver from scratch in a new project. (Jan 2022)
Easily Develop Cloud-based Applications Using WFI32/PIC32MZW1,Streamline your IoT development with Microchip's family of WiFi System on a Chip and Modules. (July 2022)
Implementing a MiWi™ Mesh Network,This course will help you get started with the IEEE® 802.15.4 protocol by building a MiWi™ mesh network. (July 2022)
Secure Boot with the CEC1712 and Soteria G2,Explore the benefits of a platform root of trust and describe how Microchip supports this with the CEC1712 microcontroller and Soteria code. (Dec 2021)
CEC173x Trust Shield,"This class will explore the benefits of the CEC173x Trust Shield family, Microchip’s Real-Time Platform Root of Trust solution. (November 2023)"
Trust Platform Design Suite v2 Introduction,Learn how the Trust Platform Design Suite v2 (TPDSv2) can help accelerate the implementation of hardware security in your embedded design and enable Microchip Secure provisioning services from proof of concept to production. (Oct 2021)
Securely Connecting to AWS IoT Core With The ATECC608B,This course demonstrates the basics for connecting and authenticating with AWS IoT Core. (Nov 2021)
Creating a Sensor Node for Azure IoT Central,This class will help you create a proof-of-concept IoT sensor node which connects to the Microsoft Azure Cloud. (Nov 2022)
Build and manage an IoT device with the Microsoft Azure IoT service and the Microchip SAME54 Xplained Pro evaluation kit,Learn how to build a fast-connected cloud using Microchip's SAME54 Xplained Pro evaluation kit and the Microsoft Azure IoT service. (Dec 2020)
Get Started Simplifying Your IoT Design with Azure RTOS,"In this class, we will dive into the device-to-cloud journey with Azure RTOS running on a Microchip SAM E54 MCU and connecting to Azure IoT Hub. (July 2021)"
Provision IoT Devices at Scale from Prototype to Production with Azure Device Provisioning Service,"Learn how to do zero touch provisioning to register, configure, and connect your IoT devices to the cloud at scale with Microchip MCUs and Azure IoT using the Azure Device Provisioning Service. (July 2021)"
Getting Started With Radio Frequency Applications,"This class is for engineers who want to learn about UHF based systems. Concepts covered include RF working principle, synchronization and data communication as relates to typical applications. (Dec 2022)"
Intro to Op-Amps Part 1: The Fundamentals,This text-based training explains the basic operational amplifier (op-amp) concepts and terminology. (Aug 2023)
Intro to Op-Amps Part 2: Positive and Negative Feedback Circuits,This text-based training covers positive and negative feedback op-amp circuits operation. (Aug 2023)
Intro to Op-Amps Part 3: Open/Closed Loop Operation,This text-based training explains the basic areas of op-amp open- and closed-loop responses. (Aug 2023)
"Intro to Op-Amps Part 4: Integrators, Differentiators, Converters and Filters","This text-based training explains operational amplifier (op-amp) Integrators, Differentiators, Converters and Filters. (Aug 2023)"
Intro to Op-Amps Part 5: Oscillators and Instrumentation Amplifiers,This text-based training explains the operational amplifier (op-amp) used in Oscillator and Instrumentation Amplifier Circuits. (Aug 2023)
Mindi™ Analog Simulator Applications,This course is intended to enhance your understanding of your circuits and systems by using analog simulations created with the MPLAB® Mindi™ Simulator. (Updated Nov 2023)
Mastering Analog Simulations Using the MPLAB® Mindi™ Analog Simulator,This class will teach you how to use the MPLAB® Mindi™ Analog Simulator to analyze your design and perform trade-offs. (Dec 2020)
Designing with Integrated Analog On PIC® and AVR® MCUs,"This training demonstrates how a few applications having standalone analog and discrete components (Op-Amp, ADC, DAC, Voltage reference, and Analog Comparator) can be designed and optimized using PIC® and AVR® microcontrollers with integrated analog peripherals. (Nov 2022)"
Designing Your First Inductive Position Sensor,This class will guide you through the design and implementation steps necessary to build your own linear inductive position sensor using time tested design rules. (Oct 2021)
Calibration Techniques for Analog Sensors and Mixed Signal Systems,This in-depth class will teach and illustrate calibration techniques to minimize inherent hardware gain and offset errors in various real-world analog systems. (Dec 2021)
Signal Conditioning in the Analogue Domain,Precision analog signal conditioning – A practical design study with a focus on the analogue domain. (Nov 2021)
High Side Current Sensing with the MCP6V51 Zero-drift Opamp,Showing a High Side Current Sensing Design Implementation for System Voltages up to 45 Volts. (Oct 2021)
Multi-Location Remote Thermal Sensing,"In this class you will learn how to economically and accurately measure temperature at multiple, remote locations. (Dec 2021)"
Getting Started With Microchip's Plug and Play Thermocouple Temperature Sensing Solution,"This class demonstrates how to use Microchip's Thermal Management Software Utility and MCP9600 Evaluation board to select, configure and provision a MCP9600 family thermocouple. (June 2022)"
Air Speed Sensing Using Solid-State Thermal Impedance,This course shows you how to measure air speed using solid-state thermal impedance techniques. (May 2023)
Getting Started With Ultra-Wideband (UWB) RF For Distance Measurement,This class will take you through how UWB technology works and how it can be applied to non-communication applications such as distance measurement. (March 2023)
Getting Started with Highly Integrated UHF Transceivers,"In this class, we will uncover the fundamental working principles of Microchip's highly integrated UHF products, including system internals and performance. (March 2023)"
Low-Power System Design with Microchip's 32-bit Cortex M0+/M23 ARM® Microcontrollers,Low power development fundamentals for the 32-bit ATSAML10 MCU with power measurement demonstrations using the SAML10-Xplained Pro Demo Board and Data Visualizer. (Sept 2021)
Battery Charging Fundamentals,"Battery Chemistries, Terminology, Profiles and Charging Topologies for Real-World Products"
Battery Charging Applications: Introduction to Battery Pack Design,Learn how to specify and design a rechargeable battery pack made from multiple cells in various arrangements. (June 2021)
Charging Batteries from Solar,"This class will help you understand how to deal with the dynamic impedance of solar cells, apply power-point tracking algorithms, sizing your battery and solar array, and negotiating between tracking efficiency vs. the charge waveform required by your battery chemistry. (Jan 2022)"
Software Tools to Simplify Motor Control Development and Debugging: motorBench®,motorBench® Development Suite is a comprehensive software development tool for Field Oriented Motor Control (FOC). (Dec 2020)
Using X2CScope to Simplify Motor Control Development and Debugging,X2CScope is a software tool that can greatly simplify the process of motor control development and debugging. (May 2021)
Motor Control Rapid Prototyping,Model-Based Development With Commercial and Open Source tools for16 and 32-bit MCUs. (Dec 2020)
Motor Control Workshop using dsPIC® Digital Signal Controllers (DSC) Dual Core Devices,This workshop class is for those aiming for a clear understanding of 3-phase brushless permanent magnet motors and their control at the fundamental level. (May 2022)
Introduction to Solid-State Lighting,This class covers terminology for lighting as well as an introduction to lighting drivers and control techniques for solid state lighting applications. (Oct 2021)
Low Dropout Regulator Basics (LDO),This class is for those with little to no background knowledge about Low Dropout Regulators (LDO). (June 2023)
Getting Started with CIP Hybrid Power PWM Controllers and MPLAB® X SMPS Design Tools,Getting Started with CIP Hybrid Power PWM Controllers and MPLAB® X SMPS Design Tools. (Dec 2020)
Overview of Hybrid Power Control Using the MCP1911x,An overview of hybrid power controllers using the MCP1911x. (June 2022)
Analog Power Meets Digital: Using Mixed Signal MCUs to Build Advanced SMPS Topologies and Applications,Using Mixed Signal MCUs to build advanced SMPS topologies and applications. (Nov 2021)
Creating a Digital Power Supply from Scratch,This class covers the entire process of creating a digital power supply. (Nov 2021)
"Power over Ethernet (PoE), Power Delivery (PD) and DC-DC Design Considerations",This course will offer an introduction to PoE (Power over Ethernet) -PD ( Power Delivery) technology. (Sept 2021)
,
